,pred,text,actual
78,Sharad Pawar,Happy Mother s Day to you amp all mothers https t co nHBpEv49J9,Shashi Tharoor
79,Omar Abdullah,Army gives clean chit to its officer in the human shield case It sets a terrible precedent Sense of injustice in Kashmir will deepen,Salman Anees Soz
80,Hillary Clinton,Watch Hillary deliver remarks on the election from New York City https t co MTRLzjN42x,Hillary Clinton
81,Manish Sisodia,RT A group of 44 Delhi govt school principals have gone to IIM Ahmedabad for a 10 day school leadership program,Manish Sisodia
82,KD SINGH,https t co 2yBYw4LYji,Sharad Pawar
83,Omar Abdullah,Now what will some of those cheerleaders who were once journos say https t co LLBPv9z3MM,Derek O'Brien
84,digvijaya singh,RT Govt launches Operation Clean Money Sounds more like Clean out your Money,digvijaya singh
85,Omar Abdullah,Thank you jenab Please ensure the safety of Kashmiris inc students in Kashmir as well The state government has https t co jLc7y45OA2,Omar Abdullah
86,Omar Abdullah,RT Chicago approves new plan to hide illegal immigrants from the feds plus give them access to city services https t co,Donald J. Trump
87,Barack Obama,Today s meetings The membership drive is on full speed Grateful to the party workers for their hard work to make https t co 4A1VccWUxo,Akhilesh Yadav
88,Donald J. Trump,Congratulations to JohnDaly on his big win yesterday John is a great guy who never gave up and now a winner again,Donald J. Trump
89,Manish Sisodia,RT 3 years of broken promises non performance amp betrayal of a mandate,digvijaya singh
90,KD SINGH,https t co 6pYGW2sdVa,Akhilesh Yadav
91,Donald J. Trump,Oh lord She is a doctor herself Lives and works in NYC Ok,Derek O'Brien
92,Omar Abdullah,Posters threaten Kashmiris in UP BJP Ministers threaten Kashmiris with bullets BJP poaches MLAs to win MLC seat amp clings on,Omar Abdullah
93,Hillary Clinton,I want to thank Tim Kaine and Anne Holton for being our partners on this journey Hillary,Hillary Clinton
94,Arvind Kejriwal,Birthday wishes to Haryana CM May he lead a long life full of good health,Narendra Modi
95,Manish Sisodia,RT Also retired military and diplomatic personnel from India Pakistan besides musicians writers politicians journalists,Salman Anees Soz
96,Manish Sisodia,RT Delhi water crisis Haryana not releasing Del s share I just spoke to LG n requested him to seek PMO s intervention,Arvind Kejriwal
97,Omar Abdullah,I pay homage to Swami Ramanand Tirth who led struggle against the Nizam amp Razakars amp freed the State from the shackles of Asafzahi 2 2,Sharad Pawar
98,Salman Anees Soz,This is akin to Pakistani channels talking to Deve Gowda to discuss developments in India Irrelevant no matter how https t co EQebyuYPQu,Omar Abdullah
99,KD SINGH,1 3,KD SINGH
100,Narendra Modi,RT Launch of the South Asia satellite historic moment for the world it ushers in a new era of regional cooperation Bhutan PM,Narendra Modi
101,Barack Obama,RT Interview We need to reconnect with the people https t co jZQlJC65NL,Manish Sisodia
102,Shashi Tharoor,RT INC Our view of nationalism is inclusive and accomodative taking the entire nation along with us,Shashi Tharoor
103,Arvind Kejriwal,RT I m told BJP national leadership is in a complete tizzy right now after AAP s EVM demo Pics of demo are playing on ever,Arvind Kejriwal
104,Barack Obama,Help keep the pressure on Senate leaders to give Judge Garland a fair hearing before their next recess https t co lkLz4yidaw DoYourJob,Barack Obama
105,Akhilesh Yadav,Today s meetings https t co lcr6AXmehj,Akhilesh Yadav
106,Barack Obama,Communities are already experiencing the effects of climate change we can t afford not to act Take a look https t co sEjVzKqhsw,Barack Obama
107,Donald J. Trump,The Russia Trump collusion story is a total hoax when will this taxpayer funded charade end,Donald J. Trump
108,Donald J. Trump,We are making tremendous progress with the V A There has never been so much done so quickly and we have just started We love our VETS,Donald J. Trump
109,Omar Abdullah,RT Institutional Delivery in health centres n hospitals has increased frm 65 to 90 in the past 6 years Thanks to Didi H,Derek O'Brien
110,Manish Sisodia,RT DGNewsClips https t co vadO3,Manish Sisodia
111,Arvind Kejriwal,RT Just read the painfully constructed EC statement it sermons a lot but is sadly silent on the Hackathon challenge amp ea,Arvind Kejriwal
112,Hillary Clinton,With threats amp hate crimes on rise we shouldn t have to tell to do his part He must step up amp speak out https t co QKKyXyuqNM,Hillary Clinton
113,Manish Sisodia,RT 16000 https,Manish Sisodia
114,KD SINGH,nan,Sushma Swaraj
115,Hillary Clinton,Tomorrow we have the chance to stand up for the America we believe in RT this if you re voting https t co 7T7UqlIvGt,Hillary Clinton
116,Arvind Kejriwal,RT Election Commission is in fix now Either way today s demo by Saurabh Bhardwaj has raised more questions on EVMTampering,Arvind Kejriwal
117,Akhilesh Yadav,Delivered a lecture at the South Indian Seminar Minority Department NCP Kochi 1 4 https t co 3wXYOHm3go,Sharad Pawar
118,Hillary Clinton,Help rangers protect the elephants Go to https t co pqxZttyOGh EarthDay Tribeca2017,Hillary Clinton
119,KD SINGH,Good Evening 2 all,KD SINGH
120,Donald J. Trump,Will be interviewed by on at 9 00 P M Saturday night Enjoy,Donald J. Trump
121,Donald J. Trump,RT i k h i l l Wow India is great,Sushma Swaraj
122,KD SINGH,http t co gmBJFYYmZB,KD SINGH
123,Donald J. Trump,There is no justification regardless of their motives for the burning of schools amp the denial of education to our younger generation,Omar Abdullah
124,Donald J. Trump,Congratulations to Emmanuel Macron on his big win today as the next President of France I look very much forward to working with him,Donald J. Trump
125,Sharad Pawar,On International Women s Day and I are inspired by all of you who embrace your power to drive chang https t co Er9mIQlmgr,Barack Obama
126,Omar Abdullah,Addressed seminar on role of civil society in disaster management organised by amp SEEDS Good to se https t co B8GbQ9Ofrw,Shashi Tharoor
127,Sharad Pawar,Birthday wishes to ji a valued colleague who has devoted his life in service of the poor amp marginalised I pray for his long life,Narendra Modi
128,Manish Sisodia,RT Jalpaiguri WB O ve blood urgent for Pregnant Lady at Zilla Hospital Pls Call 7384400803 Mar 13,Derek O'Brien
129,Derek O'Brien,Where have you applied https t co Xrr8XuQ8m3,Sushma Swaraj
130,Hillary Clinton,You would be happy to know that capacity addition in solar energy in FY17 stands at the highest ever at 81,Narendra Modi
131,Arvind Kejriwal,UP EVMs AAP 1,Manish Sisodia
132,Arun Jaitley,RT During that period someone named was Education Minister of Assam https t co EsNhjMzPlw,Salman Anees Soz
133,Sushma Swaraj,SouthAsiaSatellite will enhance digital cooperation help in developing joint strategy for countering disasters in the South Asia region,Arun Jaitley
134,digvijaya singh,RT Watch LIVE Special AICC Press Briefing 3FailedYears https t co xgNeqachz8 amp https t co KpLdaK4GOy,digvijaya singh
135,Arvind Kejriwal,RT If reports of EC developing cold feet on hackathon are true then this will raise serious questions on the outcome of rece,Arvind Kejriwal
136,Sharad Pawar,Lord Ganesha God of Wisdom amp Intellect may bring health happiness and ward off evils and odds from lives of all https t co 9qT7gFRCo4,Sharad Pawar
137,KD SINGH,https t co XJVF6SgF8W,Manish Sisodia
138,Derek O'Brien,Tomorrow the choice you face when you step into that voting booth could not be more clear and could not be more serious,Hillary Clinton
139,Hillary Clinton,Stronger together https t co 9TkaJrjW0a,Hillary Clinton
140,Arvind Kejriwal,RT Behind s Delhi assembly EVM show Two months of preparation 25 dummy runs https t co NRboeI4KsD,Arvind Kejriwal
141,Sushma Swaraj,Indians abroad All such calls are fake Plz report such cases to Indian mission They will follow up with the Pol https t co TLNj2ZMlep,Sushma Swaraj
142,digvijaya singh,RT 3 12 ISI 3FailedYears,digvijaya singh
143,KD SINGH,2 4 Marykom,KD SINGH
144,Shashi Tharoor,RT Chelsea Clinton on I am fiercely ridiculously proud to be her daughter https t co 72UKFDqNWE,Hillary Clinton
145,Sushma Swaraj,I will ask Indian Embassy in Netherlands to extend all help Plz do not worry https t co uaYW8X41LQ,Sushma Swaraj
146,Narendra Modi,RT Congratulations Venkaiah Ji I am sure you will give your best amp contribute towards creating futuristic cities https t,Sushma Swaraj
147,Narendra Modi,RT Space technology will touch the lives of our people in the region PM,Narendra Modi
148,Hillary Clinton,This is not the outcome we wanted I m sorry we did not win this election for the values we share and the vision we hold for our country,Hillary Clinton
149,Sharad Pawar,Thanks singh Appreciate your decency Wish there was more of it in the media https t co CTMbZNcTsK,Shashi Tharoor
150,Donald J. Trump,RT Our series on GujaratAfterModi continues Industry is on auto pilot but job creation isn t great via https t,Salman Anees Soz
151,Arvind Kejriwal,RT Rigged EVMs hurt democracy Sisodia Says AAP Would Attend EC Hackathon And Completely Hack All Machines https t co E12SXp,Arvind Kejriwal
152,Manish Sisodia,RT The women in blue make us proud yet again Jhulan Goswami is now the leading wicket taker in Women s ODIs with 181 wickets,Shashi Tharoor
153,Manish Sisodia,RT https,Manish Sisodia
154,KD SINGH,https t co ye5bIosDSv,Sharad Pawar
155,Sharad Pawar,Thanks for your wishes Through a reform to transform approach we are committed to building a new India https t co vgb4nyb5hi,Narendra Modi
156,Arun Jaitley,RT Statement from the Congress President Smt Sonia Gandhi on the passing away of Union Minister Shri Anil Madhav Dave https,digvijaya singh
157,Shashi Tharoor,This kind of daylight robbery deserves far greater attention KGBasinScam https t co fErjaNPV7X,Salman Anees Soz
158,Donald J. Trump,Our farmers are the Annadatas When our farmers prosper India will prosper https t co HCgTy5Jg5v,Narendra Modi
159,Hillary Clinton,RT Trump Voter Feels Betrayed By President After Reading 800 Pages Of Queer Feminist Theory https t co TZX9uaANRc,Salman Anees Soz
160,Donald J. Trump,Released Narmada Pravah the Mission Work Plan for the river Narmada This is a futuristic document which will interest policy makers,Narendra Modi
161,Shashi Tharoor,India was sold a biceps triceps foreign policy model Three years down the government desperately needs a protein https t co BX3bMTle4Q,Salman Anees Soz
162,Barack Obama,RT rob Like Obamacare Delhi s UHC reforms are being attacked from the right https t co zyZoHx7oSz,Arvind Kejriwal
163,Derek O'Brien,pallavighosh Thanks much,Derek O'Brien
164,Shashi Tharoor,RT RealIndia https t co lj3PnXgrUo,Shashi Tharoor
165,Manish Sisodia,RT In a first of its kind initiative schoolchildren from over 2 000 schools across Delhi will get an opportunity to learn lega,Manish Sisodia
166,Derek O'Brien,RT FakeVideoByBJP is not new Sanghis trying to ignite a communal riots since long by thr FalsePropaga,Derek O'Brien
167,KD SINGH,https t co MHGfTxALih,Narendra Modi
168,Shashi Tharoor,Rupani ji I have often criticized what happened 30 years back But we have to find solutions for the present amp the future,Salman Anees Soz
169,Manish Sisodia,RT Not just supporters but all particularly those who trusted ModiSarkar must watch share and RT this Facts,Salman Anees Soz
170,KD SINGH,China earthquake 1 324,KD SINGH
171,KD SINGH,http t co m74Jjq2r6i,KD SINGH
172,Donald J. Trump,Tomorrow in Madhya Pradesh I will be launching the NarmadaSevaMission which will surely have a major impact on MP s ecology,Narendra Modi
173,KD SINGH,2 2 ISRO,KD SINGH
174,Manish Sisodia,RT After cleaning out the black money only clean money left Now with Operation Clean Money v will b left with no money C l,digvijaya singh
175,Sushma Swaraj,Indians in Stockholm Plz note the Emergency number 0768982764 Counsellor 0734262097 StockholmAttack,Sushma Swaraj
176,KD SINGH,3 6 India,KD SINGH
177,Manish Sisodia,RT 972 2670 https t co zGiv40WvlC,Manish Sisodia
178,Omar Abdullah,RT Those who lack the courage to have a conversation are the cowards conclaveofcourage https t co chTSvUYkPc,Salman Anees Soz
179,Hillary Clinton,Congrats to chair amp deputy Excited for strong unified party standing for best of our country into the future,Hillary Clinton
180,Arvind Kejriwal,RT 2 snr sources in EC tell me they were prepared to announce a full no holds barred hackathon today but it was vetoed at t,Arvind Kejriwal
181,Arvind Kejriwal,RT If EC says we won t let you fiddle with the hardware they are admitting EVMs can be tampered,Arvind Kejriwal
182,Arvind Kejriwal,RT I m probably going to get in trouble for revealing this but EVM demo in Delhi Assembly is just the tip of the iceberg,Arvind Kejriwal
183,Arun Jaitley,At the Business Standard awards Mumbai March 25 2017 https t co tr9Xe1lpTn,Arun Jaitley
184,Arun Jaitley,Congratulations to Yogi Adityanath KeshavPMaurya amp DineshSharma on being sworn in as the CM amp the Deputy CMs of Uttar Pradesh respectively,Arun Jaitley
185,digvijaya singh,RT Ind BJP leadership yet to appoint Lokpal Doubt they will have the political will to take this good initiative forward https,digvijaya singh
186,Arvind Kejriwal,RT EVM https,Arvind Kejriwal
187,KD SINGH,1 2 36,KD SINGH
188,Shashi Tharoor,Thanks to Pres Johnson amp the entire Wellesley community And congrats to Wellesley s first NCAA crew champions tha https t co 7a0KcB1Hm0,Hillary Clinton
189,Hillary Clinton,RT The right to vote is precious almost sacred It is the most powerful nonviolent tool or instrument we have in a democrat,Hillary Clinton
190,Salman Anees Soz,These people are part of the wider Sangh Parivar that rules India We would have filed an FIR against this chap in https t co MeEEqFWzzV,Omar Abdullah
191,KD SINGH,hudhud http t co 0UH9oAn586,KD SINGH
192,digvijaya singh,RT Ind Mr Modi what happened to your new found concern for Muslim women You couldn t even get your police to help a Muslim mother,digvijaya singh
193,Arun Jaitley,In 2017 in India s largest state So called cow vigilantes assault 6 Police defends inaction Police file case agai https t co 6WPBNdcKOw,Salman Anees Soz
194,Arvind Kejriwal,RT Sad day for our democracy Appears EC wants to cover up any EVM tampering that may have occurred in Punjab UP amp Uttarak,Arvind Kejriwal
195,Arun Jaitley,RT Israeli PM Netanyahu praises U S policy changes during meeting with Defense Sec Mattis https t co v2C9oaq3uY,Donald J. Trump
196,Manish Sisodia,RT https t co zh9P6JahQU,digvijaya singh
197,Manish Sisodia,RT At GST meeting I m going to advocate for lower the tax rates more the compliance formula Delhi govt is following this for,Arvind Kejriwal
198,Arvind Kejriwal,RT When LK Advani lost he raised questions about EVMs why was it correct then and isn t now MLA Naresh Yadav https t co,Manish Sisodia
199,Omar Abdullah,RT is one of the best hindi blogger https t co WR2W2e005o,Arvind Kejriwal
200,Shashi Tharoor,RT RealIndia https t co o24PN8AC34,Shashi Tharoor
201,Barack Obama,Every new day seems to bring news of horrific lynchings in India Is this the face of India that we want the world https t co CkjIt462oL,Salman Anees Soz
202,Manish Sisodia,RT Yesterday fraud did PC with Showd same 2 cheques of AXIS bank,Manish Sisodia
203,KD SINGH,http t co pod5aMdFQY,KD SINGH
204,Omar Abdullah,RT Governor s rule is the next best step for Kashmir The idea of the PDP BJP alliance has failed My column Kashmir https t co,Omar Abdullah
205,KD SINGH,150 44,KD SINGH
206,KD SINGH,Congratulation Mr Manavaditya Rathore for winning gold in junior men s trap at d 4th Asian Shotgun Championships http t co NVr895hxhj,KD SINGH
207,Derek O'Brien,Thanks to Isolde Fair amp her classmates for this inspiring song I m with YOU Watch https t co 3Gt7IbcAMn,Hillary Clinton
208,Omar Abdullah,Department of Justice gives lawyers an opportunity to provide legal aid amp help the poor Have a look amp register https t co gyWXEGoN3e,Narendra Modi
209,Derek O'Brien,RT A retort to s false claims at Kolkata Press Club about Bengal https t co br6ri3Nt4J,Derek O'Brien
210,Donald J. Trump,Pathetic2see the depths2which some will sink2attract TRPs I have nothing to hide from the police amp the courts but nothing to say2such people,Shashi Tharoor
211,Shashi Tharoor,RT RealIndia https t co MqlS1J2Rot,Shashi Tharoor
212,Donald J. Trump,Gurudev Tagore will always be remembered for his powerful thoughts amp contribution to the freedom movement Tributes to him on his Jayanti,Narendra Modi
213,Akhilesh Yadav,Sir u never provided the machines pl https t co fFYBxBDWl7,Arvind Kejriwal
214,KD SINGH,nan,Sushma Swaraj
215,Sharad Pawar,Greetings to former PM amp leader of farmers Shri HD Deve Gowda ji on his birthday May Almighty bless him with good health amp a long life,Narendra Modi
216,Manish Sisodia,RT REPORT 10 SCANDALS ON DIRECTOR S WATCH https t co dnGY08wTBP,Donald J. Trump
217,Sushma Swaraj,RT SOUTHASIA https t co n7C8md9qgm URGENT HELP NEEDED MT ROJEAN at Hamayrah Port Indian Seafarers cri,Sushma Swaraj
218,Manish Sisodia,RT india Excellent Thank you,Sushma Swaraj
219,KD SINGH,1 2 5,KD SINGH
220,Arun Jaitley,RT Finance Minister interview to Yuko Fukushima NHKWorld Indian economy reforms opportunities GST infrastructu,Arun Jaitley
221,Sharad Pawar,Manufacturing openings hires rise to highest levels of the recovery https t co txFZDYYIOe,Donald J. Trump
222,Akhilesh Yadav,Met with a delegation of Sants and Sadhus to discuss the upcoming mela at Prayag https t co ZaShB63fgS,Akhilesh Yadav
223,Akhilesh Yadav,My interview with BUSINESS TODAY A Desire to Make a Difference https t co eV6mUXkvAr,Shashi Tharoor
224,Derek O'Brien,Inspired by the ideals of Swami Pranavananda BSS has been a wonderful combination of Seva amp Shram It has positively impacted many lives,Narendra Modi
225,Hillary Clinton,If you re studying global health or just want to feed your inner wonk check out my wonderful daughter amp https t co 30VA9xJxNd,Hillary Clinton
226,KD SINGH,https t co vx1VX8d99x,Akhilesh Yadav
227,Arun Jaitley,Why should cricket bear the burden of India s strained relations with Pakistan i ask LokendraPSahi of https t co o1RpepWmAC,Shashi Tharoor
228,Omar Abdullah,Who is the PDP trying to fool here Itself or the people Amit Shah Ram Madhav amp the AG in the Supreme Court no l https t co oZ3ZJxLEoI,Omar Abdullah
229,Omar Abdullah,The aggressive domination amp readiness of troops for befitting response to any misadventure by enemy is very satisfying,Arun Jaitley
230,Derek O'Brien,Rise amp Shine Sunday listening Adele cover of a Bob Dylan love song Enjoy https t co yYJJhAJQxg,Derek O'Brien
231,KD SINGH,1 2 55 GangRape,KD SINGH
232,Donald J. Trump,On the sidelines of Group Annual Meetings I shall meet some of the distinguished delegates who will be taking part in AfDBAM2017,Narendra Modi
233,Donald J. Trump,RT Dec 2016 Sherawat got media limelight by showing fake 35Cr cheque May 2017 again got limelight showing s,Manish Sisodia
234,Sushma Swaraj,RT Ahuja URGENT HELP NEEDED FOR MY SISTER IN DALLAS TX Cheated and stranded alone by her husband Undergo,Sushma Swaraj
235,Sushma Swaraj,RT As per data 35 farmers kill themselves everyday Any more speeches to give while the poor die Mr PM 3yearsFarmersInTears T,digvijaya singh
236,Arvind Kejriwal,RT Amid of controversies Kejriwal govt set to issue tender of 100Cr for 12 000 CCTV cameras next week to be installed in 3 80,Manish Sisodia
237,Sharad Pawar,Melania and I were honored to welcome Argentina President and First Lady Juliana Awada to t https t co gR3EPznu1H,Donald J. Trump
238,Arvind Kejriwal,RT Can t expect anything better from anyone closely related to the RSS Not shocking anymore https t co OCvhCHdSAk,digvijaya singh
239,Arvind Kejriwal,RT Thank for exposing how democracy was murdered Like mature democracies paper ballot is the only way to,Arvind Kejriwal
240,Barack Obama,The American Bar Association gave Judge Garland its highest rating Senate leaders DoYourJob and fill the SCOTUS https t co iTVTqGIUvV,Barack Obama
241,Arvind Kejriwal,RT Edu This interaction at summer camp by IIITD students 4 Delhi Gov School Kids makes me optimistic for India s future 2 3 http,Manish Sisodia
242,Manish Sisodia,RT Keep yourself free tomorrow 2pm onwards Tune in to Delhi assembly live telecast on Website and FB It ll be interesting to,Arvind Kejriwal
243,Salman Anees Soz,RT Are Kapil Mishra s allegations amp LG s hostility part of a BJP conspiracy https t co VLKlWRZDkh,Arvind Kejriwal
244,Arvind Kejriwal,RT pac Asli ko hack karoge to jail bhej denge nakli par bharosa nahi because it s a look alike says EC,Arvind Kejriwal
245,Derek O'Brien,Have been tweeting short excerpts from a recent dialogue in SriLanka w Here s the whole conversation https t co ubi46pFc2V,Shashi Tharoor
246,Barack Obama,Strongly welcome the ICJ stay on Kulbushan Jadhav s execution Entire country is united in ensuring his safe release https t co yjzlCTkcbQ,Arvind Kejriwal
247,Shashi Tharoor,Your ideas can also be shared on the MyGov forum or by recording your message by dialling 1800 11 7800 https t co WThDot9kVR,Narendra Modi
248,Donald J. Trump,A warning Our founding ideals are up for grabs Do read https t co ucSzvqLLkX,Salman Anees Soz
249,Hillary Clinton,It is a very fortunate coincidence that this year I received both Rajarshi Shahu Puraskar and LokmanyaTilak Sanman,Sharad Pawar
250,Derek O'Brien,Thanks a lot for your good wishes https t co o1OLgOjC0T,Narendra Modi
