,text,pred,actual
151,RT Rigged EVMs hurt democracy Sisodia Says AAP Would Attend EC Hackathon And Completely Hack All Machines https t co E12SXp,Arvind Kejriwal,Arvind Kejriwal
152,RT The women in blue make us proud yet again Jhulan Goswami is now the leading wicket taker in Women s ODIs with 181 wickets,digvijaya singh,Shashi Tharoor
153,RT https,Manish Sisodia,Manish Sisodia
154,https t co ye5bIosDSv,Barack Obama,Sharad Pawar
155,Thanks for your wishes Through a reform to transform approach we are committed to building a new India https t co vgb4nyb5hi,Derek O'Brien,Narendra Modi
156,RT Statement from the Congress President Smt Sonia Gandhi on the passing away of Union Minister Shri Anil Madhav Dave https,Arun Jaitley,digvijaya singh
157,This kind of daylight robbery deserves far greater attention KGBasinScam https t co fErjaNPV7X,Salman Anees Soz,Salman Anees Soz
158,Our farmers are the Annadatas When our farmers prosper India will prosper https t co HCgTy5Jg5v,Sharad Pawar,Narendra Modi
159,RT Trump Voter Feels Betrayed By President After Reading 800 Pages Of Queer Feminist Theory https t co TZX9uaANRc,Narendra Modi,Salman Anees Soz
160,Released Narmada Pravah the Mission Work Plan for the river Narmada This is a futuristic document which will interest policy makers,Narendra Modi,Narendra Modi
161,India was sold a biceps triceps foreign policy model Three years down the government desperately needs a protein https t co BX3bMTle4Q,Donald J. Trump,Salman Anees Soz
162,RT rob Like Obamacare Delhi s UHC reforms are being attacked from the right https t co zyZoHx7oSz,Manish Sisodia,Arvind Kejriwal
163,pallavighosh Thanks much,Derek O'Brien,Derek O'Brien
164,RT RealIndia https t co lj3PnXgrUo,Shashi Tharoor,Shashi Tharoor
165,RT In a first of its kind initiative schoolchildren from over 2 000 schools across Delhi will get an opportunity to learn lega,Manish Sisodia,Manish Sisodia
166,RT FakeVideoByBJP is not new Sanghis trying to ignite a communal riots since long by thr FalsePropaga,Derek O'Brien,Derek O'Brien
167,https t co MHGfTxALih,Narendra Modi,Narendra Modi
168,Rupani ji I have often criticized what happened 30 years back But we have to find solutions for the present amp the future,Barack Obama,Salman Anees Soz
169,RT Not just supporters but all particularly those who trusted ModiSarkar must watch share and RT this Facts,Arvind Kejriwal,Salman Anees Soz
170,China earthquake 1 324,Donald J. Trump,KD SINGH
171,http t co m74Jjq2r6i,KD SINGH,KD SINGH
172,Tomorrow in Madhya Pradesh I will be launching the NarmadaSevaMission which will surely have a major impact on MP s ecology,Narendra Modi,Narendra Modi
173,2 2 ISRO,KD SINGH,KD SINGH
174,RT After cleaning out the black money only clean money left Now with Operation Clean Money v will b left with no money C l,digvijaya singh,digvijaya singh
175,Indians in Stockholm Plz note the Emergency number 0768982764 Counsellor 0734262097 StockholmAttack,Sushma Swaraj,Sushma Swaraj
176,3 6 India,Salman Anees Soz,KD SINGH
177,RT 972 2670 https t co zGiv40WvlC,Manish Sisodia,Manish Sisodia
178,RT Those who lack the courage to have a conversation are the cowards conclaveofcourage https t co chTSvUYkPc,Shashi Tharoor,Salman Anees Soz
179,Congrats to chair amp deputy Excited for strong unified party standing for best of our country into the future,Hillary Clinton,Hillary Clinton
180,RT 2 snr sources in EC tell me they were prepared to announce a full no holds barred hackathon today but it was vetoed at t,Arvind Kejriwal,Arvind Kejriwal
181,RT If EC says we won t let you fiddle with the hardware they are admitting EVMs can be tampered,Arvind Kejriwal,Arvind Kejriwal
182,RT I m probably going to get in trouble for revealing this but EVM demo in Delhi Assembly is just the tip of the iceberg,Arvind Kejriwal,Arvind Kejriwal
183,At the Business Standard awards Mumbai March 25 2017 https t co tr9Xe1lpTn,Arun Jaitley,Arun Jaitley
184,Congratulations to Yogi Adityanath KeshavPMaurya amp DineshSharma on being sworn in as the CM amp the Deputy CMs of Uttar Pradesh respectively,Shashi Tharoor,Arun Jaitley
185,RT Ind BJP leadership yet to appoint Lokpal Doubt they will have the political will to take this good initiative forward https,digvijaya singh,digvijaya singh
186,RT EVM https,Arvind Kejriwal,Arvind Kejriwal
187,1 2 36,KD SINGH,KD SINGH
188,Thanks to Pres Johnson amp the entire Wellesley community And congrats to Wellesley s first NCAA crew champions tha https t co 7a0KcB1Hm0,Derek O'Brien,Hillary Clinton
189,RT The right to vote is precious almost sacred It is the most powerful nonviolent tool or instrument we have in a democrat,Donald J. Trump,Hillary Clinton
190,These people are part of the wider Sangh Parivar that rules India We would have filed an FIR against this chap in https t co MeEEqFWzzV,Salman Anees Soz,Omar Abdullah
191,hudhud http t co 0UH9oAn586,KD SINGH,KD SINGH
192,RT Ind Mr Modi what happened to your new found concern for Muslim women You couldn t even get your police to help a Muslim mother,Sushma Swaraj,digvijaya singh
193,In 2017 in India s largest state So called cow vigilantes assault 6 Police defends inaction Police file case agai https t co 6WPBNdcKOw,Arun Jaitley,Salman Anees Soz
194,RT Sad day for our democracy Appears EC wants to cover up any EVM tampering that may have occurred in Punjab UP amp Uttarak,Arvind Kejriwal,Arvind Kejriwal
195,RT Israeli PM Netanyahu praises U S policy changes during meeting with Defense Sec Mattis https t co v2C9oaq3uY,Arun Jaitley,Donald J. Trump
196,RT https t co zh9P6JahQU,Manish Sisodia,digvijaya singh
197,RT At GST meeting I m going to advocate for lower the tax rates more the compliance formula Delhi govt is following this for,Manish Sisodia,Arvind Kejriwal
198,RT When LK Advani lost he raised questions about EVMs why was it correct then and isn t now MLA Naresh Yadav https t co,Arvind Kejriwal,Manish Sisodia
199,RT is one of the best hindi blogger https t co WR2W2e005o,Barack Obama,Arvind Kejriwal
200,RT RealIndia https t co o24PN8AC34,Shashi Tharoor,Shashi Tharoor
201,Every new day seems to bring news of horrific lynchings in India Is this the face of India that we want the world https t co CkjIt462oL,Salman Anees Soz,Salman Anees Soz
202,RT Yesterday fraud did PC with Showd same 2 cheques of AXIS bank,Manish Sisodia,Manish Sisodia
203,http t co pod5aMdFQY,KD SINGH,KD SINGH
204,RT Governor s rule is the next best step for Kashmir The idea of the PDP BJP alliance has failed My column Kashmir https t co,Omar Abdullah,Omar Abdullah
205,150 44,Manish Sisodia,KD SINGH
206,Congratulation Mr Manavaditya Rathore for winning gold in junior men s trap at d 4th Asian Shotgun Championships http t co NVr895hxhj,KD SINGH,KD SINGH
207,Thanks to Isolde Fair amp her classmates for this inspiring song I m with YOU Watch https t co 3Gt7IbcAMn,Derek O'Brien,Hillary Clinton
208,Department of Justice gives lawyers an opportunity to provide legal aid amp help the poor Have a look amp register https t co gyWXEGoN3e,Sushma Swaraj,Narendra Modi
209,RT A retort to s false claims at Kolkata Press Club about Bengal https t co br6ri3Nt4J,Derek O'Brien,Derek O'Brien
210,Pathetic2see the depths2which some will sink2attract TRPs I have nothing to hide from the police amp the courts but nothing to say2such people,Omar Abdullah,Shashi Tharoor
211,RT RealIndia https t co MqlS1J2Rot,Shashi Tharoor,Shashi Tharoor
212,Gurudev Tagore will always be remembered for his powerful thoughts amp contribution to the freedom movement Tributes to him on his Jayanti,Hillary Clinton,Narendra Modi
213,Sir u never provided the machines pl https t co fFYBxBDWl7,Sushma Swaraj,Arvind Kejriwal
214,nan,Manish Sisodia,Sushma Swaraj
215,Greetings to former PM amp leader of farmers Shri HD Deve Gowda ji on his birthday May Almighty bless him with good health amp a long life,Arun Jaitley,Narendra Modi
216,RT REPORT 10 SCANDALS ON DIRECTOR S WATCH https t co dnGY08wTBP,Arvind Kejriwal,Donald J. Trump
217,RT SOUTHASIA https t co n7C8md9qgm URGENT HELP NEEDED MT ROJEAN at Hamayrah Port Indian Seafarers cri,Sushma Swaraj,Sushma Swaraj
218,RT india Excellent Thank you,Derek O'Brien,Sushma Swaraj
219,1 2 5,KD SINGH,KD SINGH
220,RT Finance Minister interview to Yuko Fukushima NHKWorld Indian economy reforms opportunities GST infrastructu,Arun Jaitley,Arun Jaitley
221,Manufacturing openings hires rise to highest levels of the recovery https t co txFZDYYIOe,Sharad Pawar,Donald J. Trump
222,Met with a delegation of Sants and Sadhus to discuss the upcoming mela at Prayag https t co ZaShB63fgS,Akhilesh Yadav,Akhilesh Yadav
223,My interview with BUSINESS TODAY A Desire to Make a Difference https t co eV6mUXkvAr,Akhilesh Yadav,Shashi Tharoor
224,Inspired by the ideals of Swami Pranavananda BSS has been a wonderful combination of Seva amp Shram It has positively impacted many lives,Narendra Modi,Narendra Modi
225,If you re studying global health or just want to feed your inner wonk check out my wonderful daughter amp https t co 30VA9xJxNd,Hillary Clinton,Hillary Clinton
226,https t co vx1VX8d99x,Barack Obama,Akhilesh Yadav
227,Why should cricket bear the burden of India s strained relations with Pakistan i ask LokendraPSahi of https t co o1RpepWmAC,Akhilesh Yadav,Shashi Tharoor
228,Who is the PDP trying to fool here Itself or the people Amit Shah Ram Madhav amp the AG in the Supreme Court no l https t co oZ3ZJxLEoI,Barack Obama,Omar Abdullah
229,The aggressive domination amp readiness of troops for befitting response to any misadventure by enemy is very satisfying,Arun Jaitley,Arun Jaitley
230,Rise amp Shine Sunday listening Adele cover of a Bob Dylan love song Enjoy https t co yYJJhAJQxg,Derek O'Brien,Derek O'Brien
231,1 2 55 GangRape,KD SINGH,KD SINGH
232,On the sidelines of Group Annual Meetings I shall meet some of the distinguished delegates who will be taking part in AfDBAM2017,Narendra Modi,Narendra Modi
233,RT Dec 2016 Sherawat got media limelight by showing fake 35Cr cheque May 2017 again got limelight showing s,Arun Jaitley,Manish Sisodia
234,RT Ahuja URGENT HELP NEEDED FOR MY SISTER IN DALLAS TX Cheated and stranded alone by her husband Undergo,Sushma Swaraj,Sushma Swaraj
235,RT As per data 35 farmers kill themselves everyday Any more speeches to give while the poor die Mr PM 3yearsFarmersInTears T,digvijaya singh,digvijaya singh
236,RT Amid of controversies Kejriwal govt set to issue tender of 100Cr for 12 000 CCTV cameras next week to be installed in 3 80,Manish Sisodia,Manish Sisodia
237,Melania and I were honored to welcome Argentina President and First Lady Juliana Awada to t https t co gR3EPznu1H,Donald J. Trump,Donald J. Trump
238,RT Can t expect anything better from anyone closely related to the RSS Not shocking anymore https t co OCvhCHdSAk,Manish Sisodia,digvijaya singh
239,RT Thank for exposing how democracy was murdered Like mature democracies paper ballot is the only way to,Manish Sisodia,Arvind Kejriwal
240,The American Bar Association gave Judge Garland its highest rating Senate leaders DoYourJob and fill the SCOTUS https t co iTVTqGIUvV,Barack Obama,Barack Obama
241,RT Edu This interaction at summer camp by IIITD students 4 Delhi Gov School Kids makes me optimistic for India s future 2 3 http,Manish Sisodia,Manish Sisodia
242,RT Keep yourself free tomorrow 2pm onwards Tune in to Delhi assembly live telecast on Website and FB It ll be interesting to,Hillary Clinton,Arvind Kejriwal
243,RT Are Kapil Mishra s allegations amp LG s hostility part of a BJP conspiracy https t co VLKlWRZDkh,Arvind Kejriwal,Arvind Kejriwal
244,RT pac Asli ko hack karoge to jail bhej denge nakli par bharosa nahi because it s a look alike says EC,Arvind Kejriwal,Arvind Kejriwal
245,Have been tweeting short excerpts from a recent dialogue in SriLanka w Here s the whole conversation https t co ubi46pFc2V,Shashi Tharoor,Shashi Tharoor
246,Strongly welcome the ICJ stay on Kulbushan Jadhav s execution Entire country is united in ensuring his safe release https t co yjzlCTkcbQ,Barack Obama,Arvind Kejriwal
247,Your ideas can also be shared on the MyGov forum or by recording your message by dialling 1800 11 7800 https t co WThDot9kVR,Barack Obama,Narendra Modi
248,A warning Our founding ideals are up for grabs Do read https t co ucSzvqLLkX,Akhilesh Yadav,Salman Anees Soz
249,It is a very fortunate coincidence that this year I received both Rajarshi Shahu Puraskar and LokmanyaTilak Sanman,Donald J. Trump,Sharad Pawar
250,Thanks a lot for your good wishes https t co o1OLgOjC0T,Derek O'Brien,Narendra Modi
